Grid	Japanese(Kanji)	Japanese(Kana)	Romanized Japanese	Latitude	Longitude	Classification
6441	幌向川	ほろむいがわ	Horomui Gawa	43°07'	141°37'	River
6742	幌内川	ほろないがわ	Horonai Gawa	44°40'	142°53'	River
6741	幌延町	ほろのべちょう	Horonobe Cho	45°01'	141°51'	Municipality
5134	星ヶ城山	ほしがじょうさん	Hoshigajo San	34°31'	134°19'	Mountain
5539	細尾峠	ほそおとうげ	Hosoo Toge	36°43'	139°31'	Pass
4831	細島	ほそしま	Hososhima	32°25'	131°40'	Populated area
5239	保田	ほた	Hota	35°08'	139°50'	Populated area
5437	穂高岳	ほたかだけ	Hotaka Dake	36°17'	137°39'	Mountain
5539	武尊山	ほたかやま	Hotaka Yama	36°48'	139°08'	Mountain
	ほとけのざ平頂海山	ほとけのざへいちょうかいざん	Hotokenoza Heichokaizan	25°03'	148°35'	Undersea feature
	堀田海山	ほったかいざん	Hotta Kaizan	37°43'	145°59'	Undersea feature
5032	防予諸島	ほうよしょとう	Hoyo Shoto	33°50'	132°19'	Extensive natural feature
4630	甫与志岳	ほよしだけ	Hoyoshi Dake	31°16'	130°59'	Mountain
5335	百里ヶ岳	ひゃくりがだけ	Hyakurigadake	35°24'	135°49'	Mountain
4930	兵戸峠	ひょうどとうげ	Hyodo Toge	33°04'	130°54'	Pass
5235	兵庫県	ひょうごけん	Hyogo Ken	34°41'	135°11'	Municipality
5334	氷ノ山（須賀ノ山）	ひょうのせん（すがのせん）	Hyonosen (Suganosen)	35°21'	134°31'	Mountain
	日向海盆	ひゅうがかいぼん	Hyuga Kaibon	32°00'	132°23'	Undersea feature
4831	日向灘	ひゅうがなだ	Hyuga Nada	32°11'	131°41'	Sea Area
4831	日向市	ひゅうがし	Hyuga Shi	32°25'	131°37'	Municipality
5034	伊島	いしま	I Shima	33°51'	134°49'	Island
5133	井原市	いばらし	Ibara Shi	34°36'	133°28'	Municipality
5440	茨城県	いばらきけん	Ibaraki Ken	36°21'	140°27'	Municipality
5440	茨城町	いばらきまち	Ibaraki Machi	36°17'	140°25'	Municipality
5235	茨木市	いばらきし	Ibaraki Shi	34°49'	135°34'	Municipality
5236	揖斐川	いびがわ	Ibi Gawa	35°02'	136°43'	River
5336	揖斐川町	いびがわちょう	Ibigawa Cho	35°29'	136°34'	Municipality
5234	揖保川	いぼがわ	Ibo Gawa	34°46'	134°35'	River
5133	伊吹島	いぶきじま	Ibuki Jima	34°08'	133°32'	Island
5336	伊吹山地	いぶきさんち	Ibuki Sanchi	35°33'	136°21'	Extensive natural feature
5336	伊吹山	いぶきやま	Ibuki Yama	35°25'	136°24'	Mountain
4630	指宿市	いぶすきし	Ibusuki Shi	31°15'	130°38'	Municipality
5234	市川	いちかわ	Ichi Kawa	34°47'	134°41'	River
4229	市崎	いちさき	Ichi Saki	28°13'	129°29'	Cape
6545	一菱内湖	いちびしないこ	Ichibishinai Ko	43°52'	145°30'	Lake
4831	市房山	いちふさやま	Ichifusa Yama	32°19'	131°06'	Mountain
5340	市原市	いちはらし	Ichihara Shi	35°30'	140°07'	Municipality
5440	市貝町	いちかいまち	Ichikai Machi	36°33'	140°06'	Municipality
5234	市川町	いちかわちょう	Ichikawa Cho	34°59'	134°46'	Municipality
5339	市川市	いちかわし	Ichikawa Shi	35°43'	139°56'	Municipality
5338	市川三郷町	いちかわみさとちょう	Ichikawamisato Cho	35°34'	138°30'	Municipality
4730	いちき串木野市	いちきくしきのし	Ichikikushikino Shi	31°43'	130°16'	Municipality
6041	一戸町	いちのへまち	Ichinohe Machi	40°13'	141°18'	Municipality
4142	一ノ岩	いちのいわ	Ichinoiwa	27°45'	142°07'	Island
5939	一ノ目潟	いちのめがた	Ichinome Gata	39°57'	139°44'	Lake
5340	一宮町	いちのみやまち	Ichinomiya Machi	35°22'	140°22'	Municipality
5236	一宮市	いちのみやし	Ichinomiya Shi	35°18'	136°48'	Municipality
5841	一関市	いちのせきし	Ichinoseki Shi	38°56'	141°08'	Municipality
	一葉海山	いちようかいざん	Ichiyo Kaizan	22°57'	142°32'	Undersea feature
5235	井手町	いでちょう	Ide Cho	34°48'	135°48'	Municipality
6342	イドンナップ岳	イドンナップだけ	Idonnappu Dake	42°38'	142°39'	Mountain
4027	伊江島	いえしま	Ie Shima	26°44'	127°48'	Island
4027	伊江村	いえそん	Ie Son	26°43'	127°48'	Municipality
5134	家島諸島	いえしましょとう	Ieshima Shoto	34°38'	134°33'	Extensive natural feature
5236	伊賀市	いがし	Iga Shi	34°45'	136°09'	Municipality
4027	伊平屋島	いへやじま	Iheya Jima	27°03'	127°59'	Island
4027	伊平屋村	いへやそん	Iheya Son	27°02'	127°58'	Municipality
5337	飯田市	いいだし	Iida Shi	35°31'	137°49'	Municipality
5739	飯豊町	いいでまち	Iide Machi	38°03'	139°59'	Municipality
5639	飯豊山	いいでさん	Iide San	37°51'	139°42'	Mountain
5538	飯士山	いいじさん	Iiji San	36°57'	138°50'	Mountain
5337	飯島町	いいじままち	Iijima Machi	35°41'	137°55'	Municipality
5639	飯森山	いいもりやま	Iimori Yama	37°49'	139°56'	Mountain
5232	飯南町	いいなんちょう	Iinan Cho	35°00'	132°43'	Municipality
5333	飯梨川	いいなしがわ	Iinashi Gawa	35°27'	133°13'	River
5640	飯舘村	いいたてむら	Iitate Mura	37°41'	140°44'	Municipality
5538	飯山市	いいやまし	Iiyama Shi	36°51'	138°22'	Municipality
5640	飯坂	いいざか	Iizaka	37°50'	140°27'	Populated area
5030	飯塚市	いいづかし	Iizuka Shi	33°39'	130°41'	Municipality
5538	飯綱町	いいづなまち	Iizuna Machi	36°45'	138°14'	Municipality
5538	飯縄山	いいづなやま	Iizuna Yama	36°44'	138°08'	Mountain
5638	五十嵐川	いからしがわ	Ikarashi Gawa	37°38'	138°57'	River
5135	斑鳩町	いかるがちょう	Ikaruga Cho	34°37'	135°44'	Municipality
5032	伊方町	いかたちょう	Ikata Cho	33°29'	132°21'	Municipality
5238	井川	いかわ	Ikawa	35°13'	138°14'	Populated area
5940	井川町	いかわまち	Ikawa Machi	39°55'	140°05'	Municipality
4929	池島	いけしま	Ike Shima	32°53'	129°36'	Island
5339	池袋	いけぶくろ	Ikebukuro	35°44'	139°43'	Populated area
6443	池田町	いけだちょう	Ikeda Cho	42°56'	143°27'	Municipality
5336	池田町	いけだちょう	Ikeda Cho	35°53'	136°21'	Municipality
5336	池田町	いけだちょう	Ikeda Cho	35°27'	136°34'	Municipality
4630	池田湖	いけだこ	Ikeda Ko	31°14'	130°34'	Lake
5437	池田町	いけだまち	Ikeda Machi	36°25'	137°52'	Municipality
5235	池田市	いけだし	Ikeda Shi	34°49'	135°26'	Municipality
5136	池木屋山	いけごややま	Ikegoya Yama	34°19'	136°08'	Mountain
3725	池間島	いけまじま	Ikema Jima	24°56'	125°15'	Island
5029	壱岐市	いきし	Iki Shi	33°45'	129°41'	Municipality
5029	壱岐島	いきしま	Iki Shima	33°47'	129°43'	Island
5029	壱岐水道	いきすいどう	Iki Suido	33°38'	129°48'	Sea Area
5029	生月島	いきつきじま	Ikitsuki Jima	33°24'	129°25'	Island
	一九海山	いっくかいざん	Ikku Kaizan	22°38'	129°00'	Undersea feature
5235	生駒市	いこまし	Ikoma Shi	34°42'	135°42'	Municipality
5235	生駒山	いこまやま	Ikoma Yama	34°41'	135°41'	Mountain
5133	生口島	いくちじま	Ikuchi Jima	34°18'	133°07'	Island
5537	生地鼻	いくぢはな	Ikuji Hana	36°54'	137°25'	Cape
5437	生坂村	いくさかむら	Ikusaka Mura	36°26'	137°56'	Municipality
6441	幾春別	いくしゅんべつ	Ikushunbetsu	43°16'	141°57'	Populated area
6442	幾春別岳	いくしゅんべつだけ	Ikushunbetsu Dake	43°14'	142°10'	Mountain
5031	今川	いまがわ	Ima Gawa	33°45'	131°00'	River
5133	今治市	いまばりし	Imabari Shi	34°04'	133°00'	Municipality
6140	今別町	いまべつまち	Imabetsu Machi	41°11'	140°29'	Municipality
6340	今金町	いまかねちょう	Imakane Cho	42°26'	140°01'	Municipality
4932	今ノ山	いまのやま	Imanoyama	32°51'	132°51'	Mountain
4929	伊万里市	いまりし	Imari Shi	33°16'	129°53'	Municipality
5537	射水市	いみずし	Imizu Shi	36°44'	137°05'	Municipality
3942	妹島	いもうとじま	Imoto Jima	26°34'	142°13'	Island
5639	伊南川	いながわ	Ina Gawa	37°21'	139°19'	River
5439	伊奈町	いなまち	Ina Machi	36°00'	139°37'	Municipality
5337	伊那市	いなし	Ina Shi	35°50'	137°57'	Municipality
5236	いなべ市	いなべし	Inabe Shi	35°10'	136°31'	Municipality
5235	猪名川町	いながわちょう	Inagawa Cho	34°54'	135°23'	Municipality
5339	稲城市	いなぎし	Inagi Shi	35°38'	139°30'	Municipality
6339	稲穂岬	いなほみさき	Inaho Misaki	42°15'	139°33'	Cape
6040	田舎館村	いなかだてむら	Inakadate Mura	40°38'	140°33'	Municipality
5234	稲美町	いなみちょう	Inami Cho	34°45'	134°55'	Municipality
5035	印南町	いなみちょう	Inami Cho	33°49'	135°13'	Municipality
5039	藺灘波島	いなんばとう	Inanba To	33°39'	139°18'	Island
6041	稲庭岳	いなにわだけ	Inaniwa Dake	40°12'	141°03'	Mountain
5340	稲敷市	いなしきし	Inashiki Shi	35°58'	140°18'	Municipality
5640	猪苗代湖	いなわしろこ	Inawashiro Ko	37°28'	140°06'	Lake
5640	猪苗代町	いなわしろまち	Inawashiro Machi	37°33'	140°06'	Municipality
5236	稲沢市	いなざわし	Inazawa Shi	35°15'	136°47'	Municipality
5340	印旛沼	いんばぬま	Inba Numa	35°45'	140°11'	Lake
5335	伊根町	いねちょう	Ine Cho	35°41'	135°16'	Municipality
5233	印賀	いんが	Inga	35°14'	133°17'	Populated area
5033	いの町	いのちょう	Ino Cho	33°33'	133°26'	Municipality
	井之川海山	いのかわかいざん	Inokawa Kaizan	27°01'	133°26'	Undersea feature
4933	井の岬	いのみさき	Inomisaki	33°01'	133°06'	Cape
5340	犬吠埼	いぬぼうさき	Inubo Saki	35°42'	140°52'	Cape
	犬田布海山	いぬたぶかいざん	Inutabu Kaizan	26°57'	130°20'	Undersea feature
	犬鷲断裂帯	いぬわしだんれつたい	Inuwashi Danretsutai	17°34'	139°05'	Undersea feature
5336	犬山市	いぬやまし	Inuyama Shi	35°23'	136°57'	Municipality
5340	印西市	いんざいし	Inzai Shi	35°50'	140°09'	Municipality
4630	硫黄島	いおうじま	Io Jima	30°48'	130°18'	Island
	硫黄海底谷	いおうかいていこく	Io Kaiteikoku	24°48'	140°23'	Undersea feature
3741	硫黄島	いおうとう	Io To	24°47'	141°19'	Island
6645	硫黄山	いおうざん	Io Zan	44°08'	145°10'	Mountain
5436	医王山	いおうぜん	Io Zen	36°31'	136°48'	Mountain
5540	伊王野	いおの	Iono	36°58'	140°10'	Populated area
4128	硫黄鳥島	いおうとりしま	Iotori Shima	27°52'	128°14'	Island
3725	伊良部島	いらぶじま	Irabu Jima	24°50'	125°12'	Island
5137	伊良湖岬	いらごみさき	Irago Misaki	34°35'	137°01'	Cape
5136	伊良湖水道	いらごすいどう	Irago Suido	34°32'	136°58'	Sea Area
3623	西表島	いりおもてじま	Iriomote Jima	24°21'	123°49'	Island
3927	入砂島	いりすなじま	Irisuna Jima	26°23'	127°06'	Island
3622	西崎	いりざき	Irizaki	24°27'	122°56'	Cape
5138	石廊海底谷	いろうかいていこく	Iro Kaiteikoku	34°16'	138°44'	Undersea feature
5138	石廊崎	いろうざき	Iro Zaki	34°36'	138°51'	Cape
5029	海豚鼻	いるかばな	Iruka Bana	33°42'	129°43'	Cape
5339	入間川	いるまがわ	Iruma Gawa	35°55'	139°33'	River
5339	入間市	いるまし	Iruma Shi	35°50'	139°23'	Municipality
4830	伊佐市	いさし	Isa Shi	32°03'	130°37'	Municipality
4930	諫早市	いさはやし	Isahaya Shi	32°51'	130°03'	Municipality
5841	胆沢川	いさわがわ	Isawa Gawa	39°11'	141°09'	River
5136	伊勢市	いせし	Ise Shi	34°29'	136°43'	Municipality
5236	伊勢湾	いせわん	Ise Wan	34°46'	136°44'	Sea Area
5339	伊勢原市	いせはらし	Isehara Shi	35°24'	139°19'	Municipality
4128	伊仙町	いせんちょう	Isen Cho	27°40'	128°56'	Municipality
	伊仙海穴	いせんかいけつ	Isen Kaiketsu	27°22'	130°44'	Undersea feature
	伊仙海山	いせんかいざん	Isen Kaizan	27°15'	130°25'	Undersea feature
4128	伊仙崎	いせんざき	Isen Zaki	27°40'	128°56'	Cape
5439	伊勢崎市	いせさきし	Isesaki Shi	36°19'	139°12'	Municipality
5029	石田	いしだ	Ishida	33°45'	129°45'	Populated area
3624	石垣島	いしがきじま	Ishigaki Jima	24°25'	124°12'	Island
3624	石垣市	いしがきし	Ishigaki Shi	24°20'	124°09'	Municipality
5134	石井町	いしいちょう	Ishii Cho	34°04'	134°26'	Municipality
6543	石狩岳	いしかりだけ	Ishikari Dake	43°33'	143°01'	Mountain
6441	石狩川	いしかりがわ	Ishikari Gawa	43°16'	141°22'	River
6441	石狩平野	いしかりへいや	Ishikari Heiya	43°09'	141°25'	Extensive natural feature
6542	石狩山地	いしかりさんち	Ishikari Sanchi	43°29'	142°55'	Extensive natural feature
6441	石狩市	いしかりし	Ishikari Shi	43°10'	141°19'	Municipality
6441	石狩湾	いしかりわん	Ishikari Wan	43°15'	141°13'	Sea Area
5436	石川県	いしかわけん	Ishikawa Ken	36°36'	136°38'	Municipality
5540	石川町	いしかわまち	Ishikawa Machi	37°09'	140°27'	Municipality
5741	石巻市	いしのまきし	Ishinomaki Shi	38°26'	141°18'	Municipality
5741	石巻湾	いしのまきわん	Ishinomaki Wan	38°21'	141°18'	Sea Area
5440	石岡市	いしおかし	Ishioka Shi	36°11'	140°17'	Municipality
5033	石鎚山	いしづちさん	Ishizuchi San	33°46'	133°07'	Mountain
5640	一切経山	いっさいきょうざん	Issaikyo Zan	37°44'	140°15'	Mountain
5240	夷隅川	いすみがわ	Isumi Gawa	35°18'	140°25'	River
5240	いすみ市	いすみし	Isumi Shi	35°15'	140°23'	Municipality
5136	五十鈴川	いすずがわ	Isuzu Gawa	34°31'	136°45'	River
5339	板橋区	いたばしく	Itabashi Ku	35°45'	139°43'	Municipality
5340	潮来市	いたこし	Itako Shi	35°57'	140°33'	Municipality
5439	板倉町	いたくらまち	Itakura Machi	36°14'	139°36'	Municipality
5235	伊丹市	いたみし	Itami Shi	34°47'	135°24'	Municipality
5134	板野町	いたのちょう	Itano Cho	34°09'	134°28'	Municipality
6140	板柳町	いたやなぎまち	Itayanagi Machi	40°42'	140°27'	Municipality
5739	以東岳	いとうだけ	Ito Dake	38°21'	139°51'	Mountain
5239	伊東市	いとうし	Ito Shi	34°58'	139°06'	Municipality
5030	糸田町	いとだまち	Itoda Machi	33°39'	130°47'	Municipality
5537	糸魚川市	いといがわし	Itoigawa Shi	37°02'	137°52'	Municipality
3927	糸満市	いとまんし	Itoman Shi	26°07'	127°40'	Municipality
5030	糸島市	いとしまし	Itoshima Shi	33°33'	130°12'	Municipality
4830	五木村	いつきむら	Itsuki Mura	32°24'	130°50'	Municipality
5132	斎灘	いつきなだ	Itsuki Nada	34°03'	132°46'	Sea Area
5132	厳島（宮島）	いつくしま（みやじま）	Itsukushima (Miya Jima)	34°16'	132°18'	Island
6240	岩部岳	いわべだけ	Iwabe Dake	41°32'	140°19'	Mountain
5135	岩出市	いわでし	Iwade Shi	34°15'	135°19'	Municipality
5841	磐井川	いわいがわ	Iwai Gawa	38°57'	141°10'	River
5031	祝島	いわいしま	Iwai Shima	33°47'	131°58'	Island
5941	岩泉町	いわいずみちょう	Iwaizumi Cho	39°51'	141°48'	Municipality
6140	岩木川	いわきがわ	Iwaki Gawa	41°01'	140°22'	River
	磐城海山	いわきかいざん	Iwaki Kaizan	36°53'	144°52'	Undersea feature
6040	岩木山	いわきさん	Iwaki San	40°39'	140°18'	Mountain
5540	いわき市	いわきし	Iwaki Shi	37°03'	140°53'	Municipality
5132	岩国市	いわくにし	Iwakuni Shi	34°10'	132°13'	Municipality
5236	岩倉市	いわくらし	Iwakura Shi	35°17'	136°52'	Municipality
5334	岩美町	いわみちょう	Iwami Cho	35°35'	134°20'	Municipality
5232	石見高原	いわみこうげん	Iwami Kogen	34°55'	132°20'	Extensive natural feature
6441	岩見沢市	いわみざわし	Iwamizawa Shi	43°12'	141°47'	Municipality
5438	岩村田	いわむらだ	Iwamurada	36°16'	138°29'	Populated area
6440	岩内町	いわないちょう	Iwanai Cho	42°59'	140°31'	Municipality
5740	岩沼市	いわぬまし	Iwanuma Shi	38°06'	140°52'	Municipality
6440	イワオヌプリ	イワオヌプリ	Iwao Nupuri	42°53'	140°38'	Mountain
5537	岩瀬	いわせ	Iwase	36°45'	137°14'	Populated area
5538	岩菅山	いわすげやま	Iwasuge Yama	36°45'	138°34'	Mountain
5237	磐田市	いわたし	Iwata Shi	34°43'	137°51'	Municipality
5941	岩手県	いわてけん	Iwate Ken	39°42'	141°09'	Municipality
5941	岩手町	いわてまち	Iwate Machi	39°58'	141°13'	Municipality
5941	岩手山	いわてさん	Iwate San	39°51'	141°00'	Mountain
5033	祖谷川	いやがわ	Iya Gawa	33°58'	133°47'	River
5032	伊予灘	いよなだ	Iyo Nada	33°38'	132°18'	Sea Area
5032	伊予市	いよし	Iyo Shi	33°45'	132°42'	Municipality
	十六夜海山	いざよいかいざん	Izayoi Kaizan	22°24'	136°52'	Undersea feature
4027	伊是名島	いぜなじま	Izena Jima	26°56'	127°56'	Island
4027	伊是名村	いぜなそん	Izena Son	26°56'	127°56'	Municipality
5238	伊豆半島	いずはんとう	Izu Hanto	34°50'	138°55'	Extensive natural feature
5238	伊豆市	いずし	Izu Shi	34°59'	138°57'	Municipality
5741	出島	いずしま	Izu Shima	38°27'	141°31'	Island
5139	伊豆諸島	いずしょとう	Izu Shoto	34°00'	139°42'	Extensive natural feature
4830	出水市	いずみし	Izumi Shi	32°05'	130°21'	Municipality
5135	和泉市	いずみし	Izumi Shi	34°29'	135°25'	Municipality
5135	泉大津市	いずみおおつし	Izumiotsu Shi	34°30'	135°25'	Municipality
5135	泉佐野市	いずみさのし	Izumisano Shi	34°24'	135°20'	Municipality
5540	泉崎村	いずみざきむら	Izumizaki Mura	37°09'	140°18'	Municipality
5332	出雲市	いずもし	Izumo Shi	35°22'	132°45'	Municipality
5638	出雲崎町	いずもざきまち	Izumozaki Machi	37°32'	138°43'	Municipality
5238	伊豆の国市	いずのくにし	Izunokuni Shi	35°02'	138°56'	Municipality
	伊豆・小笠原海溝	いず・おがさわらかいこう	Izu-Ogasawara Kaiko	31°12'	142°16'	Undersea feature
5239	十国峠	じっこくとうげ	Jikkoku Toge	35°08'	139°02'	Pass
5438	十石峠	じっこくとうげ	Jikkoku Toge	36°06'	138°39'	Pass
5339	陣馬山	じんばさん	Jinba San	35°39'	139°10'	Mountain
5034	甚吉森	じんきちもり	Jinkichi Mori	33°42'	134°07'	Mountain
5233	神石高原町	じんせきこうげんちょう	Jinsekikogen Cho	34°42'	133°15'	Municipality
5537	神通川	じんづうがわ	Jinzu Gawa	36°46'	137°13'	River
5032	地芳峠	じよしとうげ	Jiyoshi Toge	33°28'	132°56'	Pass
5439	地蔵岳	じぞうだけ	Jizo Dake	36°37'	139°28'	Mountain
5333	地蔵埼	じぞうざき	Jizo Zaki	35°34'	133°20'	Cape
5540	常磐	じょうばん	Joban	37°00'	140°51'	Populated area
	常磐海山列	じょうばんかいざんれつ	Joban Kaizan Retsu	36°30'	144°21'	Undersea feature
5538	上越市	じょうえつし	Joetsu Shi	37°09'	138°14'	Municipality
5537	常願寺川	じょうがんじがわ	Joganji Gawa	36°45'	137°18'	River
5239	城ヶ島	じょうがしま	Jogashima	35°08'	139°37'	Island
5233	上下	じょうげ	Joge	34°42'	133°07'	Populated area
	上弦海盆	じょうげんかいぼん	Jogen Kaibon	22°47'	137°14'	Undersea feature
5439	城峯山	じょうみねさん	Jomine San	36°06'	139°00'	Mountain
5437	常念岳	じょうねんだけ	Jonen Dake	36°20'	137°44'	Mountain
	承応海山	じょうおうかいざん	Joo Kaizan	32°07'	138°40'	Undersea feature
5440	常総市	じょうそうし	Joso Shi	36°01'	140°00'	Municipality
5235	城陽市	じょうようし	Joyo Shi	34°51'	135°47'	Municipality
6441	定山渓	じょうざんけい	Jozankei	42°58'	141°10'	Populated area
	十五夜海嶺	じゅうごやかいれい	Jugoya Kairei	23°15'	136°09'	Undersea feature
	準星海山	じゅんせいかいざん	Junsei Kaizan	25°21'	136°00'	Undersea feature
6041	十三本木峠	じゅうさんぼんぎとうげ	Jusanbongi Toge	40°05'	141°14'	Pass
6140	十三湖	じゅうさんこ	Jusanko	41°02'	140°22'	Lake
5440	加波山	かばさん	Kaba San	36°18'	140°09'	Mountain
4928	椛島	かばしま	Kaba Shima	32°46'	128°59'	Island
4829	樺島	かばしま	Kaba Shima	32°34'	129°47'	Island
3624	川平	かびら	Kabira	24°28'	124°08'	Populated area
3927	嘉手納町	かでなちょう	Kadena Cho	26°22'	127°45'	Municipality
4830	角山	かどやま	Kado Yama	32°24'	130°06'	Mountain
4831	門川町	かどがわちょう	Kadogawa Cho	32°28'	131°39'	Municipality
4530	門倉岬	かどくらみさき	Kadokura Misaki	30°21'	130°53'	Cape
5235	門真市	かどまし	Kadoma Shi	34°44'	135°35'	Municipality
5436	加賀市	かがし	Kaga Shi	36°18'	136°19'	Municipality
5540	鏡石町	かがみいしまち	Kagamiishi Machi	37°15'	140°21'	Municipality
5233	鏡野町	かがみのちょう	Kagamino Cho	35°06'	133°56'	Municipality
5134	香川県	かがわけん	Kagawa Ken	34°20'	134°03'	Municipality
	下弦海盆	かげんかいぼん	Kagen Kaibon	22°45'	137°04'	Undersea feature
5338	篭坂峠	かごさかとうげ	Kagosaka Toge	35°24'	138°52'	Pass
4730	鹿児島県	かごしまけん	Kagoshima Ken	31°34'	130°33'	Municipality
4730	鹿児島市	かごしまし	Kagoshima Shi	31°36'	130°33'	Municipality
4730	鹿児島湾	かごしまわん	Kagoshima Wan	31°23'	130°40'	Sea Area
	かぐや姫海山	かぐやひめかいざん	Kaguyahime Kaizan	23°49'	136°32'	Undersea feature
5740	河北町	かほくちょう	Kahoku Cho	38°26'	140°19'	Municipality
5436	河北潟	かほくがた	Kahoku Gata	36°39'	136°40'	Lake
5536	かほく市	かほくし	Kahoku Shi	36°43'	136°42'	Municipality
5338	甲斐市	かいし	Kai Shi	35°40'	138°31'	Municipality
5034	海部川	かいふがわ	Kaifu Gawa	33°36'	134°22'	River
6545	貝殻島	かいがらじま	Kaigara Jima	43°24'	145°52'	Island
4040	海形海山	かいかたかいざん	Kaikata Kaizan	26°41'	140°56'	Undersea feature
4630	開聞岳	かいもんだけ	Kaimon Dake	31°11'	130°32'	Mountain
5135	海南市	かいなんし	Kainan Shi	34°09'	135°14'	Municipality
	海王星海山	かいおうせいかいざん	Kaiosei Kaizan	19°12'	135°37'	Undersea feature
5339	開成町	かいせいまち	Kaisei Machi	35°20'	139°07'	Municipality
5132	海田町	かいたちょう	Kaita Cho	34°22'	132°32'	Municipality
	海徳海山群	かいとくかいざんぐん	Kaitoku Kaizangun	26°09'	141°01'	Undersea feature
	海徳堆	かいとくたい	Kaitoku Tai	26°04'	140°57'	Undersea feature
5034	海陽町	かいようちょう	Kaiyo Cho	33°36'	134°21'	Municipality
	海洋海山	かいようかいざん	Kaiyo Kaizan	43°54'	139°11'	Undersea feature
5236	海津市	かいづし	Kaizu Shi	35°13'	136°38'	Municipality
5135	貝塚市	かいづかし	Kaizuka Shi	34°26'	135°22'	Municipality
5639	加治川	かじかわ	Kaji Kawa	37°49'	139°30'	River
	かじ星海山	かじぼしかいざん	Kajiboshi Kaizan	17°56'	135°03'	Undersea feature
5336	各務原市	かかみがはらし	Kakamigahara Shi	35°24'	136°51'	Municipality
5029	加唐島	かからしま	Kakara Shima	33°36'	129°51'	Island
5238	掛川市	かけがわし	Kakegawa Shi	34°46'	138°00'	Municipality
5436	梯川	かけはしがわ	Kakehashi Gawa	36°25'	136°25'	River
4229	加計呂麻島	かけろまじま	Kakeroma Jima	28°07'	129°15'	Island
	加計呂麻海山	かけろまかいざん	Kakeroma Kaizan	27°46'	131°18'	Undersea feature
	加計呂麻海山列	かけろまかいざんれつ	Kakeroma Kaizan Retsu	27°40'	132°09'	Undersea feature
5234	加古川	かこがわ	Kako Gawa	34°44'	134°48'	River
5234	加古川市	かこがわし	Kakogawa Shi	34°45'	134°50'	Municipality
5640	角田市	かくだし	Kakuda Shi	37°59'	140°47'	Municipality
5234	鹿久居島	かくいしま	Kakui Shima	34°43'	134°19'	Island
5030	嘉麻市	かまし	Kama Shi	33°36'	130°43'	Municipality
4932	蒲戸崎	かまどざき	Kamado Zaki	33°04'	132°01'	Cape
6141	釜臥山	かまふせやま	Kamafuse Yama	41°17'	141°07'	Mountain
5340	鎌ケ谷市	かまがやし	Kamagaya Shi	35°47'	140°00'	Municipality
5841	釜石市	かまいしし	Kamaishi Shi	39°17'	141°53'	Municipality
5841	釜石湾	かまいしわん	Kamaishi Wan	39°16'	141°54'	Sea Area
5239	鎌倉市	かまくらし	Kamakura Shi	35°19'	139°33'	Municipality
5338	釜無川	かまなしがわ	Kamanashi Gawa	35°33'	138°28'	River
5338	釜無山	かまなしやま	Kamanashi Yama	35°51'	138°11'	Mountain
6240	亀田半島	かめだはんとう	Kameda Hanto	41°51'	140°52'	Extensive natural feature
5033	瓶ヶ森	かめがもり	Kamegamori	33°48'	133°12'	Mountain
5235	亀岡市	かめおかし	Kameoka Shi	35°01'	135°34'	Municipality
	亀徳海山	かめとくかいざん	Kametoku Kaizan	26°56'	133°59'	Undersea feature
5236	亀山市	かめやまし	Kameyama Shi	34°51'	136°27'	Municipality
5334	香美町	かみちょう	Kami Cho	35°38'	134°38'	Municipality
5136	神島	かみじま	Kami Jima	34°33'	136°59'	Island
5740	加美町	かみまち	Kami Machi	38°34'	140°51'	Municipality
5033	香美市	かみし	Kami Shi	33°36'	133°41'	Municipality
5239	神山	かみやま	Kami Yama	35°14'	139°01'	Mountain
5129	上県	かみあがた	Kamiagata	34°38'	129°24'	Populated area
4929	上阿値賀島	かみあじかしま	Kamiajika Shima	33°15'	129°20'	Island
4830	上天草市	かみあまくさし	Kamiamakusa Shi	32°35'	130°26'	Municipality
6542	上富良野町	かみふらのちょう	Kamifurano Cho	43°27'	142°28'	Municipality
5234	上郡町	かみごおりちょう	Kamigori Cho	34°52'	134°21'	Municipality
5537	上市町	かみいちまち	Kamiichi Machi	36°42'	137°22'	Municipality
5134	上板町	かみいたちょう	Kamiita Cho	34°07'	134°24'	Municipality
5133	上島町	かみじまちょう	Kamijima Cho	34°15'	133°12'	Municipality
5132	上蒲刈島	かみかまがりじま	Kamikamagari Jima	34°11'	132°44'	Island
5034	上勝町	かみかつちょう	Kamikatsu Cho	33°53'	134°24'	Municipality
6542	上川町	かみかわちょう	Kamikawa Cho	43°51'	142°46'	Municipality
5234	神河町	かみかわちょう	Kamikawa Cho	35°04'	134°44'	Municipality
5439	神川町	かみかわまち	Kamikawa Machi	36°13'	139°06'	Municipality
5136	上北山村	かみきたやまむら	Kamikitayama Mura	34°08'	136°00'	Municipality
6040	上小阿仁村	かみこあにむら	Kamikoani Mura	40°04'	140°18'	Municipality
4729	上甑島	かみこしきしま	Kamikoshiki Shima	31°51'	129°53'	Island
4930	上峰町	かみみねちょう	Kamimine Cho	33°19'	130°26'	Municipality
4933	上ノ加江	かみのかえ	Kaminokae	33°17'	133°14'	Populated area
5439	上三川町	かみのかわまち	Kaminokawa Machi	36°26'	139°55'	Municipality
6240	上ノ国町	かみのくにちょう	Kaminokuni Cho	41°48'	140°07'	Municipality
